Month,Year,'Consumption (KWH)','Consumption (KVAH)',PF,MD achieved (KVA),TNEB Billed,CMRL Billed,PF Penality,Harmonics Penality,MD Penality
8,2013,0,0,0,0,1442000,1442000,0,0,0
9,2013,0,0,0,0,1362815,1362815,0,0,0
10,2013,0,0,0,0,1352000,1352000,0,0,0
11,2013,0,0,0,0,1352000,1352000,0,0,0
12,2013,0,0,0,0,1352000,1352000,0,0,0
1,2014,98570,0,0.33,600,3126868,3126868,991788.6,0,0
2,2014,102300,0,0.29,1170,3488410,3488410,1301862,0,0
3,2014,150000,0,0.29,1650,4458395,4458395,1884900,0,0
4,2014,285000,0,0.39,2010,6259358,6259358,2649960,0,0
5,2014,339000,0,0.45,2070,7610280,7610280,2694600,0,0
6,2014,450000,0,0.52,2700,7860080,7860080,3009600,0,0
7,2014,399000,0,0.38,2100,8054066,8054066,3559920,0,0
8,2014,462000,0,0.44,2280,8566688,8566688,3604560,0,0
9,2014,507000,0,0.42,2400,9417602,9417602,4098240,0,0
10,2014,471000,0,0.43,2130,8730632,8730632,3699840,0,0
11,2014,522000,0,0.6,1710,7839560,7839560,2500200,0,0
12,2014,495000,0,0.73,1320,6864701,6864701,1408620,0,0
1,2015,534000,0,0.73,2010,7874029,7874029,1691670,0,0
2,2015,645000,0,0.78,2250,8158453,8158453,1070550,0,0
3,2015,726000,0,0.84,2340,8342602,8342602,596430,0,0
4,2015,804000,0,0.88,2070,8517112,8517112,143130,0,0
5,2015,852000,0,0.86,3000,9916672,9916672,314640,0,0
6,2015,984000,0,0.87,2730,10168441,10168441,264825,0,0
7,2015,1533000,0,0.88,3570,14800459,14800459,270270,0,0
8,2015,1347000,0,0.87,2940,13315108,13315108,354150,0,0
9,2015,1344000,0,0.86,2790,13408022,13408022,469140,0,0
10,2015,1152000,0,0.81,2730,12743385,12743385,1373152.5,0,0
11,2015,1128000,0,0.77,3180,1133195.77,2264376.54,2000,0,0
12,2015,1041000,0,0.77,2610,12259272,12259272,1802092.5,0,0
1,2016,909000,1101000,0.83,2610,10160726,10160726,859477.5,0,0
2,2016,801000,1014000,0.79,2430,9605460,9605460,1197652.5,0,0
3,2016,771000,882000,0.87,2520,8319575,8319575,211500,0,0
4,2016,738000,834000,0.88,2130,7953115,7953115,132990,0,0
5,2016,891000,999000,0.89,2550,9190240,9190240,80205,0,0
6,2016,771000,870000,0.89,2220,8165173,8165173,69450,0,0
7,2016,768000,8580000,0.9,2250,8067575,8067575,0,0,0
8,2016,972000,1101000,0.88,2910,9977410,7690349,175890,0,0
9,2016,999000,1143000,0.874,2970,10267135,7959328,270945,0,0
10,2016,1092000,1245000,0.88,3300,197820,8554634,197820,0,0
11,2016,732000,969000,0.76,4020,1525230,7293953,1525230,0,0
12,2016,1398000,1773000,0.79,4400,2101770,11971117,2101770,0,0
1,2017,735000,957000,0.77,4410,9348136,7250687,1447582,0,0
2,2017,1233000,1644000,0.75,4560,14742425,11326115,2578500,0,0
3,2017,60000,87000,0.69,2640,2746364,2303389,589680,0,0
4,2017,486000,540000,0.9,2580,5704550,4487854,0,0,0
5,2017,1647000,1692000,0.97,5460,18126660,14008957,0,322000,1961310
6,2017,1449000,1494000,0.97,6870,18106800,12349349,0,1309000,2099475
7,2017,1494000,1629000,0.92,3960,16388150,12525891,0,0,2000700
8,2017,1539000,1698000,0.91,3780,16789730,13000568,0,0,2045250
9,2017,1209000,1278000,0.95,5940,14770800,10694171,0,658000,1762650
10,2017,1203000,1260000,0.95,4200,13436864,10404228,0,7680,1664100
11,2017,1380000,1509000,0.91,6000,164479600,11968128,0,700000,1971000
12,2017,1143000,1272000,0.9,2700,12747500,9891444,0,0,1513350
1,2018,1299000,1365000,0.95,3600,14308700,11074085,0,1747800,0
2,2018,1191000,1338000,0.89,3600,13384874,10385348,107880,1618200,0
3,2018,1278000,1389000,0.92,6300,15835500,11651613,0,1864350,910000
4,2018,1530000,1581000,0.97,3600,16526300,12817011,0,2025000,0
5,2018,2502000,2613000,0.92,8400,29938200,21840741,0,3443400,2380000
